0	0.0239502	0.0277642
0.1	0.0259437	0.0278497
0.2	0.0258522	0.0223213
0.3	0.0268615	0.0382578
0.4	0.0257493	0.0305789
0.5	0.0389147	0.0372906
0.6	0.0227263	0.019334
0.7	0.0219393	0.0300336
0.8	0.0254068	0.0322736
0.9	0.0352398	0.0326997
1	0.0362189	0.0327761
1.1	0.0432045	0.0446864
1.2	0.0305993	0.0347272
1.3	0.0313979	0.0259367
1.4	0.0398565	0.0395219
1.5	0.0425218	0.0395156
1.6	0.0377355	0.0393025
1.7	0.0306607	0.0336001
1.8	0.0334312	0.0304393
1.9	0.0354376	0.0361284
2	0.0493048	0.0509831
2.1	0.0416749	0.0435168
2.2	0.0497387	0.0495386
2.3	0.0559254	0.0581085
2.4	0.0721623	0.0682135
2.5	0.122073	0.118246
2.6	0.725201	0.715601
2.7	0.947925	0.945877
2.8	0.970789	0.966521
2.9	0.981365	0.977784
